Year,Biofuels,Solar,Wind,Hydro,Nuclear,Gas,Coal,Oil,Geo
1965,0,0,0,53.24149389,0,2.37252,413.4073511,146.9951325,0
1966,0,0,0,55.59850722,0,2.66327,412.4153614,164.1496817,0
1967,0,0,0,62.21533111,0,3.55878,419.2852514,169.3602281,0
1968,0,0,0,71.80297389,0,3.9542,433.8247169,189.7708956,0
1969,0,0,0,79.72106556,2.013282222,4.74504,460.8412069,227.9288339,0
1970,0,0,0,84.54557722,3.633728889,6.328466111,436.8088767,226.8914472,0
1971,0,0,0,92.73374333,2.700744444,6.706218889,442.8722019,243.3324633,0
1972,0,0,0,90.00844667,2.565707222,7.355906389,467.6830869,262.3832572,0
1973,0,0,0,95.85187556,5.426041111,7.336656389,461.4494069,276.9590756,0
1974,0,0,0,92.23042278,4.996377222,8.303968889,520.8561022,271.5429611,0
1975,0,0,0,110.1903733,5.953913889,10.6308125,559.9062022,278.0928344,0
1976,0,0,0,115.2726833,7.377942778,12.91434389,583.0348325,293.2586933,0
1977,0,0,0,125.7687583,5.143690556,13.792625,610.3461675,315.0440356,0
1978,0,0,0,156.0416483,6.285368889,15.4048125,590.6641125,342.3745161,0
1979,0,0,0,150.4682939,6.518615,19.1585625,627.4928825,369.4727558,0
1980,0,0,0,154.0038139,6.800965556,11.33103139,659.5649828,376.8161767,0
1981,0,0,0,164.1193294,6.85007,19.78178139,742.1424172,405.6552842,0
1982,0,0,0,138.4990856,5.990742222,25.9345625,733.9040325,422.6563378,0
1983,0,0,0,133.4536039,8.544173333,30.85775,779.0480508,444.352945,0
1984,0,0,0,149.1179217,11.22036556,35.34059389,818.3108303,477.0670311,0
1985,0,0,0,143.9251267,12.52163333,43.22828139,857.3970792,517.6357953,0
1986,0,0,0,146.0243417,13.94566222,60.40024389,921.2400536,544.2594614,0
1987,0,0,0,136.007035,14.78043778,69.5770075,1011.629835,561.7667794,0
1988,0,0,0,151.7081811,16.87965278,81.504885,1085.55735,616.5007922,0
1989,0,0,0,176.0271572,11.17126111,96.90459639,1179.94113,667.7726453,0
1990,0,0,0.084175,184.4362933,17.76353278,115.92735,1276.025144,694.0582169,0.037586336
1991,0,0,0.313638889,205.3302344,15.03823611,129.1080175,1357.877697,706.1010914,0.095071321
1992,0,0,0.24575,194.6131894,17.788085,144.346895,1438.256562,744.1865681,0.119391892
1993,0,0,0.26325,196.4791583,17.29704056,146.6708514,1489.625328,752.0428072,0.25204955
1994,0,0,0.531333333,222.8114167,13.73696833,158.56918,1537.287081,808.2667119,0.380285285
1995,0,0.002805556,1.379083333,210.8913128,21.15173944,180.77829,1631.613403,901.3517069,0.563795045
1996,0,0.016833333,2.439944444,191.8265122,23.33688722,197.3172164,1678.482527,972.7613561,0.756148649
1997,0,0.016833333,2.744444444,195.0305772,27.97725722,214.5263314,1755.362652,1039.8557,0.981666667
1998,0,0.016833333,2.997222222,232.3131267,31.58643389,235.4287514,1813.659097,1113.507489,1.292527778
1999,0,0.016833333,4.016666667,228.4707039,35.3552,241.233685,1796.673938,1222.578932,1.686078829
2000,0,0.019638889,4.394444444,213.8621317,43.80116444,253.6269314,1911.166218,1281.23722,1.686078829
2001,0,0.030663889,5.754058333,198.7646672,52.12739694,254.277485,1926.953181,1285.022191,2.069149925
2002,8.552063833,0.036005278,5.716935556,187.9456772,53.06345056,265.544125,2012.789899,1311.634285,2.139900676
2003,7.9651066,0.04403,7.095538333,188.7877025,49.42433167,284.268985,2107.983596,1336.14656,2.712539565
2004,8.678246631,0.049218333,14.14527222,272.4222931,57.5401275,306.691385,2243.528521,1414.2178,3.314363138
2005,8.345937081,0.048906667,16.11503167,262.0474683,47.68338611,343.256375,2456.11335,1438.144101,4.035136411
2006,8.865460447,0.01925,24.95819194,301.0211714,47.12891833,358.771875,2550.426136,1519.210413,5.587
2007,9.914723358,0.156718889,31.0324375,325.6910403,47.36566556,388.1026083,2791.544117,1622.900579,7.403
2008,10.36301135,0.166304444,37.95487583,304.0175994,40.20534306,399.87666,3020.683525,1704.718984,9.302
2009,8.838858378,0.196759167,42.68626556,278.9732203,44.11652167,491.0808478,3267.833006,1793.476789,11.642
2010,10.98373355,0.294631944,50.72987722,283.5352236,60.18341556,589.6162208,3378.533067,1832.569479,14.295
2011,12.50277828,2.143140278,62.07150917,341.3076458,83.50641,602.8587708,3542.897053,1920.216442,17.137
2012,12.08040894,5.406515278,70.65972722,298.211875,85.35985917,556.9909183,3837.757542,2036.417493,19.936
2013,12.04871836,8.789307222,76.82617472,337.9083344,85.27712056,490.1930183,4106.997644,2051.262198,22.478
2014,13.58462658,12.49296417,85.13971556,353.7330797,88.27209278,485.0156675,4509.639694,2107.812655,24.676
2015,14.42382701,16.61137806,82.82789583,337.1730839,96.90890472,478.068375,4598.246258,2277.954355,25.818
2016,17.31303401,29.06089639,109.2748683,322.8531711,95.30451472,507.9098186,4678.423544,2498.029175,24.81684573
2017,15.23650567,53.86145,131.562375,339.5582769,93.536125,537.3554483,4844.708117,2571.887377,24.90818624
2018,20.41393621,90.29711556,149.8961578,347.3393997,97.05583333,580.8991406,5163.249006,2688.035392,27.22409007
2019,23.52349057,114.5688417,156.7797403,401.1850553,111.8330928,592.5032297,5166.017819,2774.392986,29.66709432
2020,24.33279467,144.7791669,149.0816644,403.7198081,110.0659781,596.0083369,4871.306242,2505.896119,32.09817682
