Year,CO2emissionsmetrictonspercapita,GDPpercapitaconstant2015US$,Particulate Pollution (µg/m3)
1960,0.267634188,302.6718187,
1961,0.283703708,307.7278964,
1962,0.305850957,310.3767247,
1963,0.321794976,322.2840611,
1964,0.308168697,339.2036902,
1965,0.332527209,323.4641091,
1966,0.337039496,316.6192677,
1967,0.330973864,334.3329556,
1968,0.352457485,338.4326238,
1969,0.35118733,352.8832057,
1970,0.351488938,362.9910563,
1971,0.362529742,360.7174613,
1972,0.374899181,350.5609996,
1973,0.377193439,353.7832651,
1974,0.381064005,349.7256807,
1975,0.404751113,372.9646205,
1976,0.413696987,370.5288027,
1977,0.427724734,388.4074749,
1978,0.424114076,401.3125051,
1979,0.434690107,371.663128,
1980,0.449266666,387.64086,
1981,0.473644451,401.4845839,
1982,0.477490561,405.8766459,
1983,0.50527683,425.4725127,
1984,0.506132025,431.7029959,
1985,0.543976973,444.2326644,
1986,0.57055617,455.2281617,
1987,0.595939661,463.05575,
1988,0.629950476,496.8561311,
1989,0.676937713,515.410609,
1990,0.644102026,532.75455,
1991,0.681429666,527.5145164,
1992,0.693121231,545.3994646,
1993,0.703544619,560.1619407,
1994,0.727526089,585.9646211,
1995,0.768837675,618.3677694,
1996,0.790663149,652.5660815,
1997,0.82074131,666.420154,
1998,0.823779815,694.7353031,73.690002
1999,0.870943498,742.6589518,72.989998
2000,0.88982752,757.6687472,80.739998
2001,0.887330155,780.606234,85.959999
2002,0.903241998,796.7247856,88.709999
2003,0.913962074,845.2748445,102.41
2004,0.962435743,897.6282327,93.290001
2005,0.991399583,953.567973,94.809998
2006,1.041839796,1014.627641,89.790001
2007,1.129216789,1075.994087,99.889999
2008,1.185904772,1093.076551,103.49
2009,1.288080997,1162.498808,99.010002
2010,1.349214466,1244.366016,120.7
2011,1.408315593,1292.821206,123.51
2012,1.507820975,1346.67591,104.73
2013,1.535560059,1415.828722,108.54
2014,1.649327519,1503.421507,101.07
2015,1.641198393,1605.605445,103.19
2016,1.648359053,1719.318076,114.33
2017,1.7191902,1816.730876,109.34
2018,1.799825446,1915.435271,112.67
