"Year","Population"
1965,499123328
1966,509631509
1967,520400577
1968,531513834
1969,543084333
1970,555189797
1971,567868021
1972,581087255
1973,594770136
1974,608802595
1975,623102900
1976,637630085
1977,652408766
1978,667499815
1979,682995348
1980,698952837
1981,715384997
1982,732239498
1983,749428958
1984,766833411
1985,784360012
1986,801975250
1987,819682095
1988,837468938
1989,855334675
1990,873277799
1991,891273202
1992,909307018
1993,927403866
1994,945601828
1995,963922586
1996,982365248
1997,1000900028
1998,1019483586
1999,1038058154
2000,1056575548
2001,1075000094
2002,1093317187
2003,1111523146
2004,1129623466
2005,1147609924
2006,1165486291
2007,1183209471
2008,1200669762
2009,1217726217
2010,1234281163
2011,1250287939
2012,1265780243
2013,1280842119
2014,1295600768
2015,1310152392
2016,1324517250
2017,1338676779
2018,1352642283
2019,1366417756
2020,1380004385
2021,1393409033
2022,1404508374.61328
2023,1415987091.65234
2024,1426938328.36719
2025,1437342957.89844
2026,1447181853.41797
2027,1456435888.08594
2028,1465085935.07422
2029,1473112867.53516
2030,1480497558.61328
2031,1487220881.51172
2032,1493263709.36719
2033,1498606915.31641
2034,1503231372.58594
2035,1507117954.24609
2036,1510247533.57031
2037,1512600983.61719
2038,1514159177.64062
2039,1514902988.71094
2040,1514813290.07422
2041,1513870954.80078
2042,1512056856.16016
2043,1509351867.21094
2044,1505736861.21484
2045,1501192711.24219
2046,1495700290.52344
2047,1489240472.14453
2048,1481794129.37109
2049,1473342135.29297
2050,1463865363.07422
